#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
     217      21.5785       1.7110      14.3064       1.8574       2.1313       2.1529       2.2588       2.1073     135.1814
     218      21.6806       1.6754      15.3706       1.8345       2.0848       2.1187       2.1840       2.0745     143.3341
     219      21.6001       1.6109      18.9145       1.8589       2.0530       2.0730       2.1736       2.0369     139.3039
     220      21.6158       1.7290      20.1866       1.7715       2.1691       2.2029       2.2715       2.1617     162.7850
     221      21.7522       1.7082      37.1318       1.8982       2.1992       2.2264       2.3069       2.1920     150.5205
     222      21.7402       1.6877      44.6637       1.8597       2.1554       2.1818       2.2785       2.1399     149.4613
     223      21.6727       1.6364      64.0597       1.9126       2.1626       2.1956       2.2831       2.1471     156.3183
     224      21.7242       1.5650      68.6566       1.8715       2.1380       2.1699       2.2508       2.1223     150.2339
     225      21.7633       1.5456      41.4480       1.8233       2.1244       2.1487       2.2508       2.0964     152.8997
     226      21.6274       1.4307      43.7623       1.8863       1.9644       1.9879       2.0983       1.9394     155.3613
     227      21.6099       1.4820     113.1284       1.8610       1.9344       1.9599       2.0652       1.9075     157.8326
     228      21.6822       1.5996     219.6252       1.9784       2.0442       2.0774       2.1486       2.0297     161.7438
     229      21.6198       1.5002     501.8574       1.9182       1.9091       1.9339       2.0370       1.8846     168.1160
     230      21.6342       1.6143     871.5080       1.9054       2.0257       2.0587       2.1309       2.0211     163.6393
     231      21.5913       1.5441     678.6291       1.9303       1.9536       1.9763       2.0847       1.9322     143.5084
     232      21.7260       1.5857     347.3012       2.0795       2.0496       2.0774       2.1497       2.0343     171.4261
     233      21.6751       1.6578     189.6893       1.9185       2.1677       2.1941       2.2866       2.1421     153.0858
     234      21.7809       1.8352     133.7154       1.9197       2.3376       2.3662       2.4344       2.3269     143.4097
     235      21.7827       1.7343      57.8121       2.0019       2.1843       2.2061       2.3023       2.1640     158.7412
     236      21.6848       1.7064      53.8284       1.8619       2.1326       2.1658       2.2335       2.1219     157.3107
     237      21.6560       1.5948      22.8861       2.0052       1.9823       2.0139       2.0836       1.9830     156.9141
     238      21.6057       1.5766      23.2479       2.0824       1.9714       2.0137       2.0748       1.9654     166.1838
     239      21.6849       1.5747      49.6787       1.8923       1.9989       2.0313       2.0946       1.9935     162.9194
     240      21.6710       1.5532      57.5892       2.0024       1.8839       1.9196       1.9866       1.8728     161.0681
     241      21.6379       1.6055      44.2111       1.8506       1.9479       1.9814       2.0566       1.9391     145.3420
     242      21.7164       1.5659      46.7499       2.0272       1.9248       1.9628       2.0369       1.9125     147.6426
     243      21.7050       1.5538      70.8380       1.9828       1.9698       2.0020       2.0662       1.9660     157.0980
     244      21.6196       1.5452      28.3613       1.9417       1.9609       1.9992       2.0588       1.9564     146.3195
     245      21.7028       1.5114      78.0253       1.9567       1.8855       1.9453       1.9904       1.9027     146.7505
     246      21.6792       1.4425      41.1555       1.9172       1.8918       1.9320       2.0058       1.8940     161.2667
     247      21.7652       1.5238      45.6782       1.9079       2.0091       2.0488       2.1137       2.0083     171.5222
     248      21.6705       1.5589      26.0604       1.8145       2.0636       2.1020       2.1736       2.0595     143.4784
     249      21.6398       1.5114      31.5351       1.8845       1.9027       1.9443       2.0164       1.8933     145.5919
     250      21.6054       1.4554      89.3660       1.9263       1.8880       1.9168       2.0232       1.8619     148.0499
     251      21.6507       1.5296      16.9942       1.8979       1.9161       1.9567       2.0324       1.9132     136.3145
     252      21.6682       1.4544      69.4892       2.0656       1.7560       1.7981       1.8746       1.7558     147.0727
     253      21.6091       1.4137      28.5267       1.9343       1.8135       1.8530       1.9318       1.7990     139.1988
